,Difficulty_Level,Key,Link,Range,Tempo,Time_Signature,Title,,,
2543,intermediate,A major,/tunes/wanhal-op10-sonata-no4-ii-andante.pdf,"('E', '4', 'F#', '6')",66 BPM,4-Apr,Andante Sonata No. 4 in A major,A,4,/tunes/wanhal-op10-sonata-no4-ii-andante
2598,intermediate,A major,/tunes/veracini-sonate-accademiche-no6-andante-moderato.pdf,"('B', '3', 'E', '6')",72 BPM,4-Feb,"Andante moderato Sonate accademiche, No. 6 in A major",A,4,/tunes/veracini-sonate-accademiche-no6-andante-moderato
1397,intermediate,A major,/tunes/quantz-op2-duet-no2-andantino.pdf,"('D', '4', 'D', '6')",72 BPM,4-Feb,Andantino Flute Duet No. 2 in A minor,A,4,/tunes/quantz-op2-duet-no2-andantino
37,easy,A major,/tunes/au-clair-de-la-lune.pdf,"('A', '4', 'C#', '5')",100 BPM,4-Apr,Au clair de la lune,A,4,/tunes/au-clair-de-la-lune
2130,intermediate,A major,/tunes/banjo-breakdown.pdf,"('A', '4', 'A', '5')",132 BPM,8-Jun,Banjo Breakdown,A,4,/tunes/banjo-breakdown
1052,easy,A major,/tunes/bantry-bay.pdf,"('A', '4', 'C#', '6')",92 BPM,4-Apr,Bantry Bay,A,4,/tunes/bantry-bay
1636,intermediate,A major,/tunes/birk-hall.pdf,"('G\xe2\x99\xae', '4', 'A', '5')",138 BPM,4-Apr,Birk Hall,A,4,/tunes/birk-hall
1173,easy,A major,/tunes/bold-captain-freney.pdf,"('E', '4', 'G#', '5')",108 BPM,4-Feb,Bold Captain Freney,A,4,/tunes/bold-captain-freney
1692,easy,A major,/tunes/bonnie-banchory.pdf,"('E', '4', 'B', '5')",144 BPM,4-Apr,Bonnie Banchory,A,4,/tunes/bonnie-banchory
819,intermediate,A major,/tunes/caddam-woods.pdf,"('E', '4', 'A', '5')",120 BPM,4-Feb,Caddam Woods,A,4,/tunes/caddam-woods
1282,intermediate,A major,/tunes/campbells-farewell-to-redcastle.pdf,"('E', '4', 'A', '5')",104 BPM,4-Feb,Campbell's Farewell to Redcastle,A,4,/tunes/campbells-farewell-to-redcastle
1063,intermediate,A major,/tunes/kohler-op66-cantabile-alla-moderna.pdf,"('Cx', '4', 'A', '6')",88 BPM,4-Apr,Cantabile alla Moderna 25 Romantic Studies,A,4,/tunes/kohler-op66-cantabile-alla-moderna
3076,intermediate,A major,/tunes/andersen-26-little-caprices-no7.pdf,"('E', '4', 'E', '6')",138 BPM,8-Mar,Caprice No. 7 in A major 26 Little Caprices,A,4,/tunes/andersen-26-little-caprices-no7
483,intermediate,A major,/tunes/carrickfergus.pdf,"('A', '4', 'D', '6')",58 BPM,4-Apr,Carrickfergus,A,4,/tunes/carrickfergus
2715,easy,A major,/tunes/schmelzer-ciaccona-in-a-major.pdf,"('D', '4', 'E', '6')",80 BPM,4-Mar,Ciaccona in A major,A,4,/tunes/schmelzer-ciaccona-in-a-major
1721,intermediate,A major,/tunes/naudot-op1-no1-ii-courante.pdf,"('E', '4', 'B', '5')",144 BPM,4-Mar,Courante Flute Sonata No. 1 in A major,A,4,/tunes/naudot-op1-no1-ii-courante
2502,easy,A major,/tunes/boismortier-op13-no12-courante.pdf,"('E', '4', 'B', '5')",120 BPM,4-Mar,"Courante 12 Petites sonates Ã  deux FlÃ»tes TraversiÃ¨res, No. 12",A,4,/tunes/boismortier-op13-no12-courante
1938,easy,A major,/tunes/skinner-cradle-song.pdf,"('E', '4', 'A', '5')",88 BPM,4-Apr,Cradle Song,A,4,/tunes/skinner-cradle-song
886,intermediate,A major,/tunes/da-new-rigged-ship.pdf,"('E', '4', 'B', '5')",200 BPM,4-Apr,Da New Rigged Ship,A,4,/tunes/da-new-rigged-ship
2015,intermediate,A major,/tunes/tchaikovsky-swan-lake-danse-hongroise.pdf,"('B', '3', 'A', '6')",76 BPM,4-Apr,Danse Hongroise Swan Lake,A,4,/tunes/tchaikovsky-swan-lake-danse-hongroise
1680,easy,A major,/tunes/dick-the-welshman.pdf,"('A', '4', 'A', '5')",138 BPM,4-Apr,Dick the Welshman,A,4,/tunes/dick-the-welshman
2469,intermediate,A major,/tunes/hugues-school-of-flute-grade2-no12.pdf,"('C#', '4', 'A', '6')",152 BPM,4-Apr,"Duet No. 12 in A major School of Flute, Grade 2",A,4,/tunes/hugues-school-of-flute-grade2-no12
2647,intermediate,A major,/tunes/hugues-school-of-flute-grade2-no17.pdf,"('C#', '4', 'A', '6')",144 BPM,4-Apr,"Duet No. 17 in A major School of Flute, Grade 2",A,4,/tunes/hugues-school-of-flute-grade2-no17
2671,intermediate,A major,/tunes/hugues-school-of-flute-grade2-no20.pdf,"('C\xe2\x99\xae', '4', 'A', '6')",116 BPM,4-Apr,"Duet No. 20 in A major School of Flute, Grade 2",A,4,/tunes/hugues-school-of-flute-grade2-no20
1702,intermediate,A major,/tunes/stamitz-op27-no4-ii-romance.pdf,"('D', '4', 'C#', '6')",56 BPM,2-Feb,"Duet No. 4, Romance Duets, Op. 27",A,4,/tunes/stamitz-op27-no4-ii-romance
1736,intermediate,A major,/tunes/stamitz-op27-no5-iii-allegro.pdf,"('D', '4', 'B', '5')",92 BPM,2-Feb,"Duet No. 5, Allegro Duets, Op. 27",A,4,/tunes/stamitz-op27-no5-iii-allegro
1718,intermediate,A major,/tunes/stamitz-op27-no5-i-andante.pdf,"('D', '4', 'E', '6')",69 BPM,4-Feb,"Duet No. 5, Andante Duets, Op. 27",A,4,/tunes/stamitz-op27-no5-i-andante
2720,intermediate,A major,/tunes/gariboldi-six-duos-faciles-op145-no6.pdf,"('D', '4', 'E', '6')",100 BPM,4-Apr,Duet No. 6 in A major Six duos faciles,A,4,/tunes/gariboldi-six-duos-faciles-op145-no6
1223,intermediate,A major,/tunes/kohler-op93-no1-duet-no7-in-c-major.pdf,"('D', '4', 'G', '6')",104 BPM,4-Apr,"Duet No. 7 in C major 20 Easy Melodic Progressive Exercises, Book 1",A,4,/tunes/kohler-op93-no1-duet-no7-in-c-major
1570,intermediate,A major,/tunes/kohler-op93-no2-duet-no8-in-a-major.pdf,"('E', '4', 'F#', '6')",96 BPM,8-Mar,"Duet No. 8 in A major 20 Easy Melodic Progressive Exercises, Book 2",A,4,/tunes/kohler-op93-no2-duet-no8-in-a-major
1252,intermediate,A major,/tunes/kohler-op93-no1-duet-no9-in-a-major.pdf,"('D#', '4', 'A', '6')",100 BPM,8-Jun,"Duet No. 9 in A major 20 Easy Melodic Progressive Exercises, Book 1",A,4,/tunes/kohler-op93-no1-duet-no9-in-a-major
1189,easy,A major,/tunes/eight-men-of-muidart-reel.pdf,"('G\xe2\x99\xae', '4', 'B', '5')",116 BPM,4-Apr,Eight Men of Muidart,A,4,/tunes/eight-men-of-muidart-reel
2420,intermediate,A major,/tunes/bartok-10-easy-pieces-no5-evening-in-transylvania.pdf,"('E', '4', 'E', '6')",80 BPM,4-Apr,Evening in Transylvania 10 Easy Pieces,A,4,/tunes/bartok-10-easy-pieces-no5-evening-in-transylvania
1309,easy,A major,/tunes/every-man-in-his-humour.pdf,"('A', '4', 'A', '5')",76 BPM,8-Jun,Every Man in His Humour,A,4,/tunes/every-man-in-his-humour
651,intermediate,A major,/tunes/telemann-fantasia-for-solo-flute-no1.pdf,"('D', '4', 'C#', '6')",128 BPM,4-Apr,Fantasia No. 1 in A major 12 Fantasias for Solo Flute,A,4,/tunes/telemann-fantasia-for-solo-flute-no1
1762,intermediate,A major,/tunes/father-john-macmillan-of-barra.pdf,"('A', '4', 'A', '5')",120 BPM,4-Apr,Father John MacMillan of Barra,A,4,/tunes/father-john-macmillan-of-barra
538,intermediate,A major,/tunes/for-these-are-my-montains.pdf,"('A', '4', 'A', '5')",60 BPM,8-Dec,For These Are My Mountains,A,4,/tunes/for-these-are-my-montains
908,easy,A major,/tunes/fuzzy-fuzzy-cute-cute.pdf,"('G#', '4', 'A', '5')",132 BPM,4-Apr,Fuzzy Fuzzy Cute Cute,A,4,/tunes/fuzzy-fuzzy-cute-cute
1995,intermediate,A major,/tunes/naudot-op1-no5-ii-gayment.pdf,"('E', '4', 'D', '6')",96 BPM,4-Apr,Gayment Flute Sonata No. 5 in A major,A,4,/tunes/naudot-op1-no5-ii-gayment
2530,intermediate,A major,/tunes/boismortier-op13-no12-gayment.pdf,"('E', '4', 'C#', '6')",152 BPM,8-Mar,"Gayment 12 Petites sonates Ã  deux FlÃ»tes TraversiÃ¨res, No. 12",A,4,/tunes/boismortier-op13-no12-gayment
1270,intermediate,A major,/tunes/general-elliots-delight.pdf,"('E', '4', 'A', '5')",120 BPM,8-Jun,General Elliot's Delight,A,4,/tunes/general-elliots-delight
1347,easy,A major,/tunes/ger-the-rigger.pdf,"('A', '4', 'A', '5')",120 BPM,4-Feb,Ger the Rigger,A,4,/tunes/ger-the-rigger
1056,intermediate,A major,/tunes/gillie-callum.pdf,"('E', '4', 'B', '5')",132 BPM,4-Apr,Gillie Callum,A,4,/tunes/gillie-callum
494,intermediate,A major,/tunes/borodin-polovtsian-dances-gliding-dance-of-the-maidens.pdf,"('E', '4', 'F#', '6')",84 BPM,4-Apr,Gliding Dance of the Maidens Polovtsian Dances,A,4,/tunes/borodin-polovtsian-dances-gliding-dance-of-the-maidens
1939,intermediate,A major,/tunes/albinoni-trattenimenti-armonici-no11-i-grave-adagio.pdf,"('E', '4', 'C#', '6')",40 BPM,4-Apr,"Grave Adagio Trattenimenti armonici, Sonata No. 11 in A major",A,4,/tunes/albinoni-trattenimenti-armonici-no11-i-grave-adagio
1979,intermediate,A major,/tunes/naudot-op1-no5-i-gravement.pdf,"('E', '4', 'D', '6')",48 BPM,4-Apr,Gravement Flute Sonata No. 5 in A major,A,4,/tunes/naudot-op1-no5-i-gravement
2682,easy,A major,/tunes/hawaii-aloha.pdf,"('E', '4', 'E', '5')",72 BPM,4-Apr,HawaiÊ»i Aloha,A,4,/tunes/hawaii-aloha
1902,intermediate,A major,/tunes/hector-the-hero.pdf,"('A', '4', 'A', '5')",36 BPM,8-Jun,Hector the Hero,A,4,/tunes/hector-the-hero
910,intermediate,A major,/tunes/berlioz-la-damnation-de-faust-marche-hongroise.pdf,"('C#', '4', 'A', '6')",88 BPM,2-Feb,Hungarian March La damnation de Faust,A,4,/tunes/berlioz-la-damnation-de-faust-marche-hongroise
2095,easy,A major,/tunes/purcell-the-indian-queen-i-attempt-from-loves-sickness.pdf,"('D#', '4', 'F#', '5')",132 BPM,4-Mar,I Attempt from Love's Sickness The Indian Queen,A,4,/tunes/purcell-the-indian-queen-i-attempt-from-loves-sickness
2492,easy,A major,/tunes/i-loe-nae-a-laddie-but-ane.pdf,"('A', '4', 'A', '5')",120 BPM,8-Jun,I Lo'e Nae a Laddie but Ane,A,4,/tunes/i-loe-nae-a-laddie-but-ane
953,intermediate,A major,/tunes/tosti-ideale.pdf,"('E', '4', 'F#', '5')",58 BPM,4-Apr,Ideale,A,4,/tunes/tosti-ideale
2562,intermediate,A major,/tunes/bach-invention-no12-in-a-major.pdf,"('B#', '3', 'A', '6')",56 BPM,8-Dec,Invention No. 12 in A major,A,4,/tunes/bach-invention-no12-in-a-major
806,intermediate,A major,/tunes/kate-dalrymple.pdf,"('E', '4', 'B', '5')",200 BPM,4-Apr,Kate Dalrymple,A,4,/tunes/kate-dalrymple
1986,easy,A major,/tunes/kempshott-hunt.pdf,"('A', '4', 'A', '5')",126 BPM,4-Feb,Kempshott Hunt,A,4,/tunes/kempshott-hunt
2403,easy,A major,/tunes/kilcoy-castle.pdf,"('G', '4', 'A', '5')",144 BPM,4-Apr,Kilcoy Castle,A,4,/tunes/kilcoy-castle
944,easy,A major,/tunes/kitcheners-army.pdf,"('A', '4', 'A', '5')",80 BPM,4-Feb,King George V's Army,A,4,/tunes/kitcheners-army
2368,intermediate,A major,/tunes/blavet-op2-sonata-no6-linvincible.pdf,"('E', '4', 'A', '5')",168 BPM,8-Mar,"L'invincible Flute Sonata No. 6 in A minor, â€œLa Bougetâ€ù",A,4,/tunes/blavet-op2-sonata-no6-linvincible
1837,intermediate,A major,/tunes/la-sablonniere-italienne.pdf,"('E', '4', 'B', '5')",120 BPM,4-Feb,La SablonniÃ¨re Italienne,A,4,/tunes/la-sablonniere-italienne
2018,intermediate,A major,/tunes/lady-mildmays-waltz.pdf,"('G#', '4', 'A', '5')",76 BPM,8-Mar,Lady Mildmay's Waltz,A,4,/tunes/lady-mildmays-waltz
2605,easy,A major,/tunes/lamb-skinnet.pdf,"('G#', '4', 'A', '5')",152 BPM,8-Jun,Lamb Skinnet,A,4,/tunes/lamb-skinnet
1839,intermediate,A major,/tunes/blavet-op1-sonata-no6-ii-larghetto.pdf,"('E', '4', 'B', '5')",52 BPM,8-Jun,Larghetto Sonata for Two Flutes No. 6 in A major,A,4,/tunes/blavet-op1-sonata-no6-ii-larghetto
2376,intermediate,A major,/tunes/veracini-sonate-accademiche-no6-largo.pdf,"('D', '4', 'F#', '6')",60 BPM,4-Mar,"Largo Sonate accademiche, No. 6 in A major",A,4,/tunes/veracini-sonate-accademiche-no6-largo
2294,easy,A major,/tunes/marcello-cello-sonata-op1-no4-iii-largo.pdf,"('Eb', '4', 'G', '5')",52 BPM,4-Mar,Largo Cello Sonata No. 4 in G minor,A,4,/tunes/marcello-cello-sonata-op1-no4-iii-largo
3014,intermediate,A major,/tunes/leaving-port-askaig.pdf,"('A', '4', 'A', '5')",80 BPM,8-Jun,Leaving Port Askaig,A,4,/tunes/leaving-port-askaig
2088,easy,A major,/tunes/boismortier-op13-no6-lentement.pdf,"('E', '4', 'A', '5')",66 BPM,2-Mar,"Lentement 12 Petites sonates Ã  deux FlÃ»tes TraversiÃ¨res, No. 6",A,4,/tunes/boismortier-op13-no6-lentement
1701,easy,A major,/tunes/naudot-op1-no1-i-lentement.pdf,"('E', '4', 'B', '5')",54 BPM,4-Apr,Lentement Flute Sonata No. 1 in A major,A,4,/tunes/naudot-op1-no1-i-lentement
1908,intermediate,A major,/tunes/boismortier-op-22-no29-les-menetriers.pdf,"('E', '4', 'B', '5')",60 BPM,8-Mar,Les MÃ©nÃ©triers 55 Easy Pieces,A,4,/tunes/boismortier-op-22-no29-les-menetriers
1880,easy,A major,/tunes/boismortier-op-22-no27-les-pasteurs.pdf,"('D', '4', 'A', '5')",66 BPM,8-Mar,Les Pasteurs 55 Easy Pieces,A,4,/tunes/boismortier-op-22-no27-les-pasteurs
597,intermediate,A major,/tunes/waldteufel-les-patineurs.pdf,"('C#', '4', 'B', '6')",66 BPM,4-Mar,Les Patineurs,A,4,/tunes/waldteufel-les-patineurs
1896,intermediate,A major,/tunes/boismortier-op-22-no28-les-pedants.pdf,"('D#', '4', 'B', '5')",52 BPM,4-Apr,Les Pedants 55 Easy Pieces,A,4,/tunes/boismortier-op-22-no28-les-pedants
870,easy,A major,/tunes/lochaber-no-more.pdf,"('E', '4', 'B', '5')",88 BPM,4-Mar,Lochaber No More,A,4,/tunes/lochaber-no-more
1327,intermediate,A major,/tunes/tchaikovsky-orchestral-suite-no1-marche-miniature.pdf,"('F#', '4', 'B', '6')",132 BPM,4-Feb,Marche miniature Orchestral Suite No. 1 in D minor,A,4,/tunes/tchaikovsky-orchestral-suite-no1-marche-miniature
1431,easy,A major,/tunes/mary-do-it-again.pdf,"('G\xe2\x99\xae', '4', 'B', '5')",100 BPM,8-Jun,Mary Do It Again,A,4,/tunes/mary-do-it-again
2665,easy,A major,/tunes/meg-merrilies.pdf,"('G#', '4', 'A', '5')",76 BPM,2-Feb,Meg Merrilies,A,4,/tunes/meg-merrilies
1218,intermediate,A major,/tunes/foote-3-pieces-melody.pdf,"('E', '4', 'A', '6')",80 BPM,4-Mar,Melody 3 Pieces for Flute and Piano,A,4,/tunes/foote-3-pieces-melody
2104,intermediate,A major,/tunes/boismortier-op13-no6-menuets.pdf,"('E', '4', 'B', '5')",144 BPM,4-Mar,"Menuet 12 Petites sonates Ã  deux FlÃ»tes TraversiÃ¨res, No. 6",A,4,/tunes/boismortier-op13-no6-menuets
2067,intermediate,A major,/tunes/naudot-op1-no5-v-menuets.pdf,"('E', '4', 'D', '6')",144 BPM,4-Mar,Menuets Flute Sonata No. 5 in A major,A,4,/tunes/naudot-op1-no5-v-menuets
2591,intermediate,A major,/tunes/wanhal-op10-sonata-no4-iii-menuetto.pdf,"('E', '4', 'F#', '6')",120 BPM,4-Mar,Menuetto con Variazione Sonata No. 4 in A major,A,4,/tunes/wanhal-op10-sonata-no4-iii-menuetto
38,intermediate,A major,/tunes/boccherini-minuet.pdf,"('C#', '4', 'A', '6')",90 BPM,4-Mar,Minuet String Quintet in E major,A,4,/tunes/boccherini-minuet
2489,intermediate,A major,/tunes/boismortier-op13-no12-moderement.pdf,"('E', '4', 'F#', '5')",84 BPM,4-Apr,"ModÃ©rÃ©ment 12 Petites sonates Ã  deux FlÃ»tes TraversiÃ¨res, No. 12",A,4,/tunes/boismortier-op13-no12-moderement
2238,intermediate,A major,/tunes/tchaikovsky-the-nutcracker-mother-gigogne.pdf,"('G#', '4', 'A', '6')",132 BPM,4-Feb,Mother Gigogne The Nutcracker,A,4,/tunes/tchaikovsky-the-nutcracker-mother-gigogne
2175,easy,A major,/tunes/mrs-mcleod-of-raasay.pdf,"('A', '4', 'A', '5')",144 BPM,4-Apr,Mrs. MacLeod of Raasay,A,4,/tunes/mrs-mcleod-of-raasay
362,intermediate,A major,/tunes/my-love-is-like-a-red-red-rose.pdf,"('A', '4', 'E', '6')",42 BPM,4-Apr,"My Love is Like a Red, Red Rose",A,4,/tunes/my-love-is-like-a-red-red-rose
934,intermediate,A major,/tunes/grieg-norwegian-dances-op35-no2.pdf,"('D', '4', 'A', '6')",76 BPM,4-Feb,Norwegian Dance No. 2 4 Norwegian Dances,A,4,/tunes/grieg-norwegian-dances-op35-no2
334,intermediate,A major,/tunes/borodin-string-quartet-no2-notturno.pdf,"('E', '4', 'A', '6')",60 BPM,4-Mar,Notturno String Quartet No. 2 in D major,A,4,/tunes/borodin-string-quartet-no2-notturno
331,easy,A major,/tunes/old-joe-clark.pdf,"('E', '4', 'G\xe2\x99\xae', '5')",160 BPM,4-Feb,Old Joe Clark,A,4,/tunes/old-joe-clark
147,easy,A major,/tunes/over-the-rainbow.pdf,"('F#', '4', 'B', '5')",104 BPM,4-Apr,Over the Rainbow The Wizard of Oz,A,4,/tunes/over-the-rainbow
807,intermediate,A major,/tunes/von-suppe-leichte-kavallerie-overture.pdf,"('D#', '4', 'A', '6')",116 BPM,8-Jun,Overture Light Cavalry,A,4,/tunes/von-suppe-leichte-kavallerie-overture
840,intermediate,A major,/tunes/verdi-nabucco-overture.pdf,"('C\xe2\x99\xae', '4', 'A', '6')",180 BPM,4-Apr,Overture Nabucco,A,4,/tunes/verdi-nabucco-overture
2481,advanced,A major,/tunes/strauss-die-fledermaus-overture-trio.pdf,"('B', '3', 'B', '6')",120 BPM,4-Apr,Overture Die Fledermaus,A,4,/tunes/strauss-die-fledermaus-overture-trio
2896,easy,A major,/tunes/paddys-resource.pdf,"('C#', '4', 'C#', '6')",96 BPM,8-Jun,Paddy's Resource,A,4,/tunes/paddys-resource
671,intermediate,A major,/tunes/bizet-larlesienne-suite-no2-pastorale.pdf,"('D', '4', 'A', '6')",54 BPM,4-Apr,Pastorale L'ArlÃ©sienne Suite No. 2,A,4,/tunes/bizet-larlesienne-suite-no2-pastorale
1234,intermediate,A major,/tunes/chedeville-il-pastor-fido-sonata-no4-pastorale-ad-libitum.pdf,"('E', '4', 'B', '5')",48 BPM,8-Jun,"Pastorale ad libitum Il pastor fido, Sonata No. 4",A,4,/tunes/chedeville-il-pastor-fido-sonata-no4-pastorale-ad-libitum
1248,intermediate,A major,/tunes/chedeville-il-pastor-fido-sonata-no4-pastorale-ad-libitum-duet.pdf,"('E', '4', 'B', '5')",48 BPM,8-Jun,"Pastorale ad libitum Il pastor fido, Sonata No. 4",A,4,/tunes/chedeville-il-pastor-fido-sonata-no4-pastorale-ad-libitum-duet
2138,intermediate,A major,/tunes/perthshire-volunteers.pdf,"('E', '4', 'B', '5')",120 BPM,4-Apr,Perthshire Volunteers,A,4,/tunes/perthshire-volunteers
1032,intermediate,A major,/tunes/bach-cello-suite-no3-prelude.pdf,"('C', '4', 'G', '6')",80 BPM,4-Apr,Prelude Cello Suite No. 3 in C major,A,4,/tunes/bach-cello-suite-no3-prelude
407,intermediate,A major,/tunes/bizet-carmen-prelude-to-act-i.pdf,"('C\xe2\x99\xae', '4', 'A', '6')",116 BPM,4-Feb,Prelude Carmen,A,4,/tunes/bizet-carmen-prelude-to-act-i
1178,intermediate,A major,/tunes/chedeville-il-pastor-fido-sonata-no4-prelude.pdf,"('E', '4', 'B', '5')",40 BPM,4-Apr,"Prelude Il pastor fido, Sonata No. 4",A,4,/tunes/chedeville-il-pastor-fido-sonata-no4-prelude
1867,easy,A major,/tunes/boismortier-op-22-no26-prelude.pdf,"('E', '4', 'B', '5')",120 BPM,4-Mar,PrÃ©lude in A major 55 Easy Pieces,A,4,/tunes/boismortier-op-22-no26-prelude
781,advanced,A major,/tunes/bach-partita-in-e-major-for-solo-violin-prelude.pdf,"('C#', '4', 'A', '6')",126 BPM,4-Mar,Preludio Partita No. 3 in E major for solo violin,A,4,/tunes/bach-partita-in-e-major-for-solo-violin-prelude
3099,intermediate,A major,/tunes/schultze-sonata-for-two-flutes-no3-in-a-major-ii-presto.pdf,"('D', '4', 'F#', '6')",116 BPM,2-Feb,Presto Sonata for Two Flutes No. 3 in A major,A,4,/tunes/schultze-sonata-for-two-flutes-no3-in-a-major-ii-presto
1851,intermediate,A major,/tunes/blavet-op1-sonata-no6-iii-presto.pdf,"('E', '4', 'C#', '6')",144 BPM,4-Feb,Presto Sonata for Two Flutes No. 6 in A major,A,4,/tunes/blavet-op1-sonata-no6-iii-presto
